taxon	unknown	unknown.1	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	unknown.8	unknown.9	unknown.10	unknown.11	unknown.12	unknown.13	unknown.14	unknown.15	unknown.16	unknown.17	unknown.18	unknown.19	unknown.20	unknown.21	unknown.22	unknown.23	unknown.24	unknown.25	unknown.26	unknown.27	unknown.28	unknown.29	tRNA-Ala	unknown.30	unknown.31	unknown.32	unknown.33	unknown.34	unknown.35	unknown.36	unknown.37	unknown.38	unknown.39	unknown.40	unknown.41	unknown.42	unknown.43	unknown.44	unknown.45	unknown.46	unknown.47	unknown.48	unknown.49	unknown.50	unknown.51	unknown.52	unknown.53	unknown.54	unknown.55	unknown.56	fusA	unknown.57	unknown.58	unknown.59	unknown.60	unknown.61	unknown.62	unknown.63	unknown.64	unknown.65	unknown.66	unknown.67	unknown.68	unknown.69	unknown.70	unknown.71	unknown.72	unknown.73	unknown.74	unknown.75	unknown.76	unknown.77	unknown.78	unknown.79	fructokinase	unknown.80	unknown.81	unknown.82	unknown.83	unknown.84	unknown.85	unknown.86	
Aotus azarai															2015-11-10-sim-6_PHTM0G											2015-11-10-sim-6_LAI5VN	2015-11-10-sim-6_1CFMKS																																															2015-11-10-sim-6_OTPMH4																	
Arctocebus calabarensis																		2015-11-10-sim-6_UHFMKJ												2015-11-10-sim-6_ALWK1W																																														2015-11-10-sim-6_6GL8VJ												2015-11-10-sim-6_RMWCYF			
Eldopractamas creglevas																																								2015-11-10-sim-6_3MW0PX																			2015-11-10-sim-6_M8O14V																			2015-11-10-sim-6_83UP9S									2015-11-10-sim-6_372EK9				
Galagoides demidoff																															2015-11-10-sim-6_7VOJMM				2015-11-10-sim-6_CUNHSW																																											2015-11-10-sim-6_XTJQD2												2015-11-10-sim-6_MWOSZC	
Galago moholi					2015-11-10-sim-6_HBR3CT																																				2015-11-10-sim-6_5724GJ		2015-11-10-sim-6_BR0QWD																																															2015-11-10-sim-6_VVUDZJ	
Nomascus hainanus									2015-11-10-sim-6_DXXUW5																																																						2015-11-10-sim-6_WIP23C						2015-11-10-sim-6_192DEM																					2015-11-10-sim-6_V0ZLTX	
Cercopithecus petaurista																																									2015-11-10-sim-6_Y9UVSI		2015-11-10-sim-6_W48LCA	2015-11-10-sim-6_0JD2R3																					2015-11-10-sim-6_11ENV3																									2015-11-10-sim-6_WZ8M3F	
Saimiri ustus																									2015-11-10-sim-6_4P2YBH				2015-11-10-sim-6_ZSINZ0								2015-11-10-sim-6_UJQKTN																									2015-11-10-sim-6_4YQS98							2015-11-10-sim-6_8YD9VN																						
Saguinus labiatus																																										2015-11-10-sim-6_7JFOU6						2015-11-10-sim-6_KUQNYS																2015-11-10-sim-6_YO0XXG													2015-11-10-sim-6_SUC6I4													2015-11-10-sim-6_V1G65W	
Colobus angolensis																					2015-11-10-sim-6_PJC176															2015-11-10-sim-6_UBD8TE										2015-11-10-sim-6_LE5VHX																															2015-11-10-sim-6_ZJOAC0													2015-11-10-sim-6_UCZNU6	
Lagothrix cana	2015-11-10-sim-6_KC98N3					2015-11-10-sim-6_YV9EEW																																																								2015-11-10-sim-6_ZH4KZ6		2015-11-10-sim-6_FJA51W																										2015-11-10-sim-6_RNOJAP	
