avg_dist	del_avg_size	del_count	file	gap_freq	gaps_per_seq	ident_pairs	ins_avg_size	ins_count	max_frac_ident	nchar	ntax	prop_invar	species
0.129488302264481	0	0	./cluster859-replicated.fa	0.276456394346777	267.333333333333	0	150.5	2	0.111111111111111	967	9	0.767321613236815	9606,9534,9590,9521,30591,255237,9519,9598,9544
0.0113897711094075	158.666666666667	9	./cluster783-replicated.fa	0.409693219902037	1589.2	0	336	5	0.2	3879	5	0.988399071925754	9606,9598,9544,27679,9557
0.0401280157557852	10.3333333333333	11	./cluster781-replicated.fa	0.00499634413843529	20.5	0	0	0	0.5	4103	2	0.960272970996832	9478,662464
0.0598086124401914	59	4	./cluster874-replicated.fa	0.189189189189189	42	0	0	0	0.333333333333333	222	3	0.936936936936937	9606,9590,593543
0.0130648961233669	0	0	./cluster863-replicated.fa	0	0	2	0	0	0.285714285714286	667	7	0.970014992503748	36226,9534,255237,9544,33548,222416,100937
0.0249307479224377	14	4	./cluster86-replicated.fa	0.0671462829736211	28	0	0	0	0.5	417	2	0.97841726618705	9597,9600
0.108761329305136	0	0	./cluster865-replicated.fa	0.109702457956016	84.8	0	106	1	0.1	773	10	0.708926261319534	9508,9606,9534,9502,255237,9519,9544,33548,222416,100937
0.046940980064814	13	1	./cluster861-replicated.fa	0.00108279193736465	0.722222222222222	0	0	0	0.0555555555555556	667	18	0.779610194902549	9508,9483,9606,9534,9590,9502,9593,30591,33548,9600,9521,255237,9519,9598,9515,9544,222416,100937
0.103752940532852	64.6666666666667	3	./cluster858-replicated.fa	0.343500424808836	367.545454545455	0	201.5	2	0.0909090909090909	1070	11	0.793457943925234	9508,9483,9606,9590,9521,30591,255237,9519,9515,9544,100937
0.0231008918018696	119	1	./cluster860-replicated.fa	0.376255319148936	442.1	0	254	2	0.1	1175	10	0.954893617021277	9508,9606,9502,9600,9521,27679,33548,255237,9544,100937
0.106308939170257	44.3333333333333	4	./cluster867-replicated.fa	0.0263868065967017	17.6	0	0	0	0.0666666666666667	667	15	0.559220389805097	9508,9483,9606,9502,9593,30591,33548,9600,9521,255237,9519,9598,9544,34829,222416
0.0762244291656057	0	0	./cluster754-replicated.fa	0.00154686078252957	2.91428571428571	0	3	1	0.0285714285714286	1884	35	0.53343949044586	9493,9483,43780,9606,263448,36227,9590,36231,9509,30589,9593,33548,9523,9490,78454,9505,9538,9521,9600,9565,75569,9530,9531,9519,9598,9597,9515,9544,9568,9561,61853,43777,30608,9557,9555
0.106175010343401	30.2222222222222	11	./cluster871-replicated.fa	0.1	70	0	17.5	3	0.0833333333333333	700	12	0.685714285714286	9483,9606,9534,9502,9593,9600,30591,255237,9519,9598,9544,100937
0.0602750338950223	86	2	./cluster869-replicated.fa	0.0162106446776612	10.8125	0	0	0	0.0625	667	16	0.740629685157421	9508,9483,9606,9534,9590,9593,9600,9521,30591,255237,9519,9598,9515,9544,222416,100937
0.164074667629732	0	0	./cluster857-replicated.fa	0.247011251758087	234.166666666667	0	281	1	0.0833333333333333	948	12	0.608649789029536	9483,9606,9590,9502,9593,9600,9521,30591,255237,9519,9515,100937
0.0607003344950995	111.75	8	./cluster862-replicated.fa	0.0842911877394636	56.2222222222222	0	0	0	0.0555555555555556	667	18	0.737631184407796	9508,9483,9606,36226,9534,9590,9502,9593,9600,9521,30591,255237,9519,9598,9515,9544,34828,100937
0.0347203982339624	3	1	./cluster872-replicated.fa	0.000562218890554723	0.375	0	0	0	0.0625	667	16	0.850074962518741	9508,9606,9534,9502,9593,30591,33548,9600,9521,255237,9519,9598,9515,9544,222416,100937
0.0561728395061728	0	0	./cluster886-replicated.fa	0.117391304347826	48.6	0	27	2	0.1	414	10	0.85024154589372	9593,9600,54131,9598,9561,9447,9606,9534,9590,9470
0.0342237061769616	93.6666666666667	3	./cluster885-replicated.fa	0.0949966193373901	140.5	0	0	0	0.5	1479	2	0.972278566599053	9606,9521
0.0512375391251743	0	0	./cluster873-replicated.fa	0	0	0	0	0	0.0526315789473684	667	19	0.782608695652174	9508,9483,9606,9534,9590,9502,9593,30591,33548,9600,9521,255237,9519,9598,9515,9544,222416,100937,34828
0.0459119496855345	0	0	./cluster887-replicated.fa	0.048951048951049	56	0	84	1	0.333333333333333	1144	3	0.936188811188811	9606,9598,9597
0.0289097875304772	0	0	./cluster900-replicated.fa	0	0	0	0	0	0.166666666666667	957	6	0.936259143155695	548481,412751,122231,30608,236274,143283
0.0455364033959351	69.5	5	./cluster87-replicated.fa	0.206799859796705	393.333333333333	0	433	1	0.333333333333333	1902	3	0.954258675078864	9509,9519,78454
0.0471821237888076	48	1	./cluster899-replicated.fa	0.00736899563318777	6.75	0	1	1	0.125	916	8	0.882096069868996	30608,122231,415757,236274,143283,343908,412750,548481
0.0594795539033457	123	10	./cluster85-replicated.fa	0.199441340782123	535.5	0	0	0	0.5	2685	2	0.964245810055866	9597,9600
0.0234854059357371	0	0	./cluster901-replicated.fa	0	0	0	0	0	0.111111111111111	906	9	0.938189845474614	412751,122231,30608,415757,236274,143283,343908,412750,548481
0.033434232250963	8.16666666666667	7	./cluster888-replicated.fa	0.175274725274725	255.2	0	123.666666666667	4	0.0666666666666667	1456	15	0.847527472527473	9509,9493,9606,36228,9534,9590,9593,9505,9523,9600,9538,9598,9519,9544,9555
0.0235971757710888	0	0	./cluster902-replicated.fa	0	0	0	0	0	0.111111111111111	897	9	0.933110367892977	412751,122231,30608,415757,236274,143283,343908,412750,143353
0.108974091534899	18.5555555555556	10	./cluster905-replicated.fa	0.0345366463509923	24.5555555555556	0	1.5	2	0.111111111111111	711	9	0.682137834036568	9534,9593,9505,9491,9490,9600,9597,9544,9557
0.0487025948103792	7.6	7	./cluster915-replicated.fa	0.0320224719101124	14.25	0	0	0	0.25	445	4	0.925842696629213	9447,13557,30608,122246
