avg_dist	del_avg_size	del_count	file	gap_freq	gaps_per_seq	ident_pairs	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
0.0340182648401828	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster4.fa	0	0	4	0	0	292	16	0.900684931506849	61852,33548,30602,1126382,66265,52232,867366,129801,9572,34828,90383,122232,9463,9555,460675,9510
0.0816825875649405	3	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster5.fa	0.25412673056443	159.083333333333	0	173	1	626	12	0.806709265175719	30598,9544,30598,595220,61851,170207,122232,52232,143353,43777,221704,111174
0.010993325480958	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster21.fa	0	0	2	0	0	283	9	0.971731448763251	52232,34828,30602,9555,867366,1126382,9572,33548,66265
0.00754936120789784	3	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster8.fa	0.00346020761245675	2	0	0	0	578	3	0.991349480968858	9600,9508,9495
0.00975706889685379	30	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster55.fa	0.126544735541275	36.5714285714286	1	8.33333333333333	4	289	7	0.975778546712803	867377,34829,9519,261734,36227,198702,30611
0.0482014388489208	43.6	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster66.fa	0.315824468085106	59.375	0	50	1	188	8	0.920212765957447	9598,9447,9540,9490,13515,9557,36227,36231
0.065709822300332	2	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster46.fa	0.273489932885906	163	0	116	1	596	8	0.864093959731544	60711,1090896,89672,90382,40843,30601,9523,75567
0.0194185289650683	14.3333333333333	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster16.fa	0.11977886977887	48.75	2	33	1	407	8	0.960687960687961	13557,867377,57176,30586,13514,52232,1090896,198702
0.0250144472880378	31	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster43.fa	0.197628458498024	50	1	31	1	253	12	0.91699604743083	9525,9532,147649,1090896,89672,342401,75567,1131379,864580,9552,9540,40843
0.048491790759832	5.5	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster31.fa	0.00900900900900901	8	0	2	1	888	4	0.920045045045045	198702,30590,90382,43778
0.0320367215597198	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster47.fa	0	0	0	0	0	587	9	0.913117546848382	147650,75569,34827,121123,236275,412751,548481,9509,78449
0.0088101160862355	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster60.fa	0	0	3	0	0	268	9	0.966417910447761	465717,34828,36229,90381,9542,9601,543559,30591,460675
0.0218669803250642	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster52.fa	0.144375	115.5	0	66	2	800	8	0.95625	9483,34828,9556,342807,9508,9509,9507,90382
0.048278945015646	68	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster61.fa	0.0791618160651921	68	0	0	0	859	4	0.925494761350407	9507,9509,379532,34825
0.0208032360589425	0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/PRIMATES-3/cluster25.fa	0.0102418207681366	7.2	1	6	2	703	5	0.964438122332859	30596,70927,666519,1215604,43780
